Ticker,Gia_TB,Volume_TB,Bien_Dong_Std,Bien_Dong_Pct (%)
HVN,32186.765193370167,2316050.2375690606,4163.928898468847,12.936773464040224
VJC,103595.0276243094,1164888.3867403315,19529.676211240665,18.851943630022134
SCS,67105.60220994476,393233.70165745856,7096.8768738865865,10.57568465250262
VTR,18995.117016574586,52773.75138121547,2090.789195292835,11.00698244432226
AST,61090.57569060773,23633.701657458565,6018.94475264609,9.852493096691283
NCT,108953.88888888889,11091.666666666666,4721.901471561909,4.333853081992604
