Ticker,R2_Score,MSE,Intercept
VJC,0.9843630043165833,8516467.78725484,65005.65783217606
HVN,0.8705318753833533,1442179.0561786639,64143.075354929955
SCS,0.8686772259108215,863179.6906136852,63778.23014029864
NCT,0.8578492386943151,663378.3558726654,65885.22802425786
AST,0.7997505060116179,1858724.9546778493,66518.4719693683
VTR,0.34134389630992457,136280.64019059902,64096.667999975776
