Date,Close,Open,High,Low,Volume,ChangePercent,Ticker,Return,Average,Volatility,LogReturn
2024-01-25,60063.0,60063.0,61274.0,59877.0,34100,0.16,SCS,0.0,60575.5,1397.0,0.0
2024-01-26,61646.0,62391.0,62391.0,60995.0,40800,2.64,SCS,-1.1940824798448495,61693.0,1396.0,-0.012012689099142548
2024-01-29,61088.0,61926.0,62019.0,61088.0,28200,-0.91,SCS,-1.353228046377935,61553.5,931.0,-0.01362467626851327
2024-01-30,61088.0,61460.0,61460.0,60902.0,31200,0.0,SCS,-0.6052717214448422,61181.0,558.0,-0.006071109159000443
2024-01-31,64626.0,61088.0,65278.0,60715.0,422000,5.79,SCS,5.791644840230488,62996.5,4563.0,0.0563013590533501
2024-02-01,66675.0,64626.0,66675.0,64626.0,186100,3.17,SCS,3.170550552409247,65650.5,2049.0,0.03121326347138975
2024-02-02,65930.0,66675.0,67513.0,65651.0,79000,-1.12,SCS,-1.1173603299587551,66582.0,1862.0,-0.011236496942869323
2024-02-05,65744.0,66116.0,66116.0,65185.0,93100,-0.28,SCS,-0.5626474680863935,65650.5,931.0,-0.005642362914052512
2024-02-06,66582.0,65744.0,67513.0,65744.0,185300,1.27,SCS,1.2746410318812362,66628.5,1769.0,0.012665858605426905
2024-02-07,67141.0,66582.0,67606.0,66582.0,85400,0.84,SCS,0.8395662491364033,67094.0,1024.0,0.008360614945308598
2024-02-15,67234.0,67420.0,67513.0,66209.0,57300,0.14,SCS,-0.2758825274399288,66861.0,1304.0,-0.002762637846608129
2024-02-16,67048.0,66582.0,67979.0,66582.0,126900,-0.28,SCS,0.6998888588507404,67280.5,1397.0,0.006974510050122618
2024-02-19,67327.0,67793.0,68258.0,66582.0,102600,0.42,SCS,-0.6873866033366277,67420.0,1676.0,-0.006897599875186344
2024-02-20,67979.0,67606.0,68258.0,67327.0,63000,0.97,SCS,0.5517261781498684,67792.5,931.0,0.005502097444225029
2024-02-21,69841.0,67979.0,70307.0,67513.0,81200,2.74,SCS,2.7390811868371117,68910.0,2794.0,0.027022395920102582
2024-02-22,69841.0,70772.0,70772.0,69376.0,34300,0.0,SCS,-1.3154920024868593,70074.0,1396.0,-0.013242212379765306
2024-02-23,68724.0,69841.0,70214.0,68537.0,91600,-1.6,SCS,-1.599347088386478,69375.5,1677.0,-0.01612274667127167
2024-02-26,70214.0,68910.0,70307.0,68724.0,95900,2.17,SCS,1.8923233202728196,69515.5,1583.0,0.018746415978521114
2024-02-27,69562.0,70214.0,70772.0,68910.0,39400,-0.93,SCS,-0.9285897399379042,69841.0,1862.0,-0.009329280118478778
2024-02-28,70307.0,69376.0,70493.0,69376.0,63500,1.07,SCS,1.3419626383763836,69934.5,1117.0,0.013330380739871472
2024-02-29,69934.0,70307.0,70679.0,69562.0,84100,-0.53,SCS,-0.5305303881548068,70120.5,1117.0,-0.005319426979884412
2024-03-01,70772.0,69841.0,70959.0,69841.0,193800,1.2,SCS,1.333027877607709,70400.0,1118.0,0.013242212379765306
2024-03-04,70586.0,70959.0,70959.0,70400.0,222500,-0.26,SCS,-0.5256556603108837,70679.5,559.0,-0.005270420903766393
2024-03-05,71704.0,70586.0,71890.0,70307.0,253800,1.58,SCS,1.5838834896438387,71098.5,1583.0,0.01571470950325171
2024-03-06,71610.0,71517.0,72542.0,70866.0,224700,-0.13,SCS,0.13003901170351106,71704.0,1676.0,0.0012995453420856506
2024-03-07,72914.0,71704.0,72914.0,71704.0,108900,1.82,SCS,1.6874930268883186,72309.0,1210.0,0.016734130417230375
2024-03-08,74497.0,72914.0,75428.0,72542.0,199800,2.17,SCS,2.171050827001673,73985.0,2886.0,0.02147819164605025
2024-03-11,74032.0,74497.0,74590.0,73007.0,210100,-0.62,SCS,-0.6241862088406245,73798.5,1583.0,-0.006261423953699108
2024-03-12,74032.0,74497.0,74497.0,73845.0,168300,0.0,SCS,-0.6241862088406245,74171.0,652.0,-0.006261423953699108
2024-03-13,74497.0,74032.0,74497.0,74032.0,160100,0.63,SCS,0.6281067646423169,74264.5,465.0,0.006261423953699108
2024-03-14,75056.0,74497.0,75428.0,74497.0,58200,0.75,SCS,0.7503657865417399,74962.5,931.0,0.007475645467760472
2024-03-15,72821.0,75056.0,75056.0,72542.0,266800,-2.98,SCS,-2.9777765934768703,73799.0,2514.0,-0.03023012644203149
2024-03-18,71238.0,72635.0,72635.0,69841.0,159600,-2.17,SCS,-1.9233152061678254,71238.0,2794.0,-0.019420515413138162
2024-03-19,71517.0,71238.0,72635.0,70866.0,46600,0.39,SCS,0.39164490861618795,71750.5,1769.0,0.003908799765053317
2024-03-20,70679.0,70772.0,71610.0,69934.0,163400,-1.17,SCS,-0.13140790142994405,70772.0,1676.0,-0.0013149431732593087
2024-03-21,70493.0,70866.0,70959.0,69841.0,299200,-0.26,SCS,-0.5263454971354388,70400.0,1118.0,-0.005277355749338852
2024-03-22,70307.0,70493.0,71238.0,70214.0,44200,-0.26,SCS,-0.26385598570070784,70726.0,1024.0,-0.002642046991427449
2024-03-25,70307.0,70400.0,70493.0,70214.0,85200,0.0,SCS,-0.13210227272727273,70353.5,279.0,-0.001321896046997395
2024-03-26,70214.0,70307.0,70772.0,70027.0,48000,-0.13,SCS,-0.13227701366862474,70399.5,745.0,-0.0013236457693608372
2024-03-27,69934.0,70772.0,70772.0,69841.0,54800,-0.4,SCS,-1.1840841010569152,70306.5,931.0,-0.011911502113642669
2024-03-28,70679.0,70586.0,71610.0,70214.0,151800,1.07,SCS,0.1317541722154535,70912.0,1396.0,0.0013166745256878443
2024-03-29,70679.0,70772.0,71517.0,70679.0,152800,0.0,SCS,-0.13140790142994405,71098.0,838.0,-0.0013149431732593087
2024-04-01,70027.0,70772.0,70866.0,69934.0,64500,-0.92,SCS,-1.0526761996269711,70400.0,932.0,-0.010582560284316145
2024-04-02,69841.0,70586.0,70586.0,69376.0,61800,-0.27,SCS,-1.0554500892528262,69981.0,1210.0,-0.010610594680818153
2024-04-03,68724.0,69841.0,69841.0,68537.0,164700,-1.6,SCS,-1.599347088386478,69189.0,1304.0,-0.01612274667127167
2024-04-04,73380.0,68910.0,73380.0,68817.0,598100,6.78,SCS,6.486721811057902,71098.5,4563.0,0.06285011355801906
2024-04-05,72635.0,73380.0,75987.0,71797.0,165400,-1.02,SCS,-1.015263014445353,73892.0,4190.0,-0.010204519602288187
2024-04-08,72635.0,72821.0,74032.0,71797.0,92800,0.0,SCS,-0.25542082640996416,72914.5,2235.0,-0.002557475819223498
2024-04-09,73100.0,73752.0,73752.0,72635.0,120400,0.64,SCS,-0.8840438225404057,73193.5,1117.0,-0.008879746740561245
2024-04-10,73845.0,72728.0,74404.0,72728.0,68200,1.02,SCS,1.5358596414035859,73566.0,1676.0,0.015241847058716118
2024-04-11,73380.0,72728.0,73566.0,72169.0,56300,-0.63,SCS,0.896491035089649,72867.5,1397.0,0.008924964107578148
2024-04-12,75149.0,73380.0,75428.0,73380.0,88600,2.41,SCS,2.4107386208776234,74404.0,2048.0,0.02382139046341969
2024-04-15,72635.0,74963.0,75149.0,72542.0,251300,-3.35,SCS,-3.105532062484159,73845.5,2607.0,-0.031547759149203713
2024-04-16,73380.0,72542.0,73566.0,71610.0,105900,1.03,SCS,1.1551928537950429,72588.0,1956.0,0.011485714457139196
2024-04-17,72914.0,72635.0,73473.0,72355.0,121300,-0.63,SCS,0.38411234253459076,72914.0,1118.0,0.003833765147444268
2024-04-19,72169.0,72914.0,72914.0,71704.0,241700,-1.02,SCS,-1.0217516526318677,72309.0,1210.0,-0.010270073657032697
2024-04-22,71797.0,72169.0,72542.0,71704.0,118800,-0.52,SCS,-0.5154567750696283,72123.0,838.0,-0.005167898363808376
2024-04-23,74032.0,72635.0,74032.0,71517.0,236000,3.11,SCS,1.9233152061678254,72774.5,2515.0,0.01905053283979541
2024-04-24,73566.0,74032.0,74032.0,73194.0,78100,-0.63,SCS,-0.6294575318781068,73613.0,838.0,-0.006314469686337532
2024-04-25,75894.0,73194.0,76173.0,72635.0,194600,3.16,SCS,3.688826953028937,74404.0,3538.0,0.03622417949880408
2024-04-26,74497.0,74963.0,75894.0,74497.0,102100,-1.84,SCS,-0.6216400090711418,75195.5,1397.0,-0.006235802355709197
2024-05-02,77943.0,75335.0,78688.0,75242.0,248600,4.63,SCS,3.4618703126037036,76965.0,3446.0,0.03403295606358192
2024-05-03,77291.0,78129.0,78129.0,77105.0,73800,-0.84,SCS,-1.0725850836437174,77617.0,1024.0,-0.010783787426426272
2024-05-06,78595.0,77384.0,79060.0,77384.0,138600,1.69,SCS,1.5649229814948828,78222.0,1676.0,0.015528043299955385
2024-05-07,82133.0,78781.0,82878.0,78501.0,485000,4.5,SCS,4.254833018113505,80689.5,4377.0,0.04166803350221393
2024-05-08,81481.0,81854.0,81854.0,80550.0,115400,-0.79,SCS,-0.45568939819678944,81202.0,1304.0,-0.004567308273275117
2024-05-09,81016.0,81481.0,82785.0,80457.0,273600,-0.57,SCS,-0.5706851904124889,81621.0,2328.0,-0.005723198203725133
2024-05-10,82878.0,81202.0,82878.0,81109.0,119600,2.3,SCS,2.0639885717100563,81993.5,1769.0,0.02042976953969955
2024-05-13,81016.0,82599.0,83064.0,81016.0,107900,-2.25,SCS,-1.9164880930761872,82040.0,2048.0,-0.019350907886133584
2024-05-14,81109.0,81295.0,82133.0,80643.0,186900,0.11,SCS,-0.22879635893966419,81388.0,1490.0,-0.0022905849772794085
2024-05-15,81947.0,81295.0,82226.0,81016.0,118000,1.03,SCS,0.8020173442401132,81621.0,1210.0,0.007988182784629316
