Date,Close,Open,High,Low,Volume,ChangePercent,Ticker,Return,Average,Volatility,LogReturn
2024-01-31,85527.0,84957.0,85527.0,84957.0,11700,0.67,NCT,0.670927645750203,85242.0,570.0,0.00668686942967156
2024-02-01,85527.0,85527.0,85527.0,85527.0,4600,0.0,NCT,0.0,85527.0,0.0,0.0
2024-02-02,85527.0,84671.0,85527.0,84671.0,4600,0.0,NCT,1.0109718793919995,85099.0,856.0,0.010058957422316439
2024-02-05,85908.0,85623.0,85908.0,85623.0,200,0.45,NCT,0.33285449003188394,85765.5,285.0,0.003323017556686736
2024-02-06,85527.0,86003.0,86003.0,84576.0,6700,-0.44,NCT,-0.5534690650326152,85289.5,1427.0,-0.005550063800617622
2024-02-07,85527.0,85623.0,85623.0,85527.0,800,0.0,NCT,-0.1121194071686346,85575.0,96.0,-0.0011218230799627804
2024-02-15,85623.0,85527.0,86003.0,85527.0,6100,0.11,NCT,0.11224525588410678,85765.0,476.0,0.0011218230799627804
2024-02-16,86574.0,85718.0,86574.0,85623.0,1800,1.11,NCT,0.998623392986304,86098.5,951.0,0.009936700987868363
2024-02-19,86574.0,86289.0,86859.0,86289.0,3000,0.0,NCT,0.3302854361506102,86574.0,570.0,0.003297411918477877
2024-02-20,86384.0,86574.0,86574.0,86384.0,1800,-0.22,NCT,-0.21946542841961791,86479.0,190.0,-0.0021970660672430142
2024-02-21,86289.0,86574.0,86574.0,86193.0,5800,-0.11,NCT,-0.3291981426294268,86383.5,381.0,-0.003297411918477877
2024-02-22,86193.0,86289.0,86289.0,86193.0,600,-0.11,NCT,-0.11125404165073184,86241.0,96.0,-0.0011131597489946188
2024-02-23,86193.0,87050.0,87050.0,86193.0,3900,0.0,NCT,-0.9844916714531878,86621.5,857.0,-0.009893698338496293
2024-02-26,87050.0,87050.0,87050.0,87050.0,500,0.99,NCT,0.0,87050.0,0.0,0.0
2024-02-27,86954.0,87240.0,87240.0,86193.0,2000,-0.11,NCT,-0.32783127005960566,86716.5,1047.0,-0.0032836981410042654
2024-02-28,86859.0,86193.0,86859.0,86193.0,3400,-0.11,NCT,0.7726845567505483,86526.0,666.0,0.007697146385517328
2024-02-29,86764.0,86764.0,86859.0,86193.0,6100,-0.11,NCT,0.0,86526.0,666.0,0.0
2024-03-01,86384.0,86193.0,86384.0,86003.0,8700,-0.44,NCT,0.2215957212302623,86193.5,381.0,0.0022135056002294817
2024-03-04,86574.0,86384.0,86574.0,86193.0,55700,0.22,NCT,0.21994813854417486,86383.5,381.0,0.0021970660672430142
2024-03-05,86479.0,86574.0,86669.0,86193.0,45300,-0.11,NCT,-0.10973271420980896,86431.0,476.0,-0.0010979296463293764
2024-03-06,86574.0,86574.0,86574.0,86479.0,15500,0.11,NCT,0.0,86526.5,95.0,0.0
2024-03-07,86574.0,86574.0,86574.0,86384.0,6400,0.0,NCT,0.0,86479.0,190.0,0.0
2024-03-08,86574.0,86574.0,86574.0,85908.0,23000,0.0,NCT,0.0,86241.0,666.0,0.0
2024-03-11,86574.0,86574.0,86574.0,85908.0,5000,0.0,NCT,0.0,86241.0,666.0,0.0
2024-03-12,86574.0,86764.0,86764.0,86193.0,4500,0.0,NCT,-0.2189848324189756,86478.5,571.0,-0.002192249548215841
2024-03-13,86574.0,86574.0,86954.0,86384.0,13400,0.0,NCT,0.0,86669.0,570.0,0.0
2024-03-14,86574.0,86574.0,87335.0,86193.0,15600,0.0,NCT,0.0,86764.0,1142.0,0.0
2024-03-15,86574.0,86289.0,86574.0,86289.0,7800,0.0,NCT,0.3302854361506102,86431.5,285.0,0.003297411918477877
2024-03-18,87050.0,89333.0,89333.0,86669.0,6800,0.55,NCT,-2.5556065507707117,88001.0,2664.0,-0.02588829427830497
2024-03-19,88286.0,87525.0,88286.0,87050.0,3000,1.42,NCT,0.8694658668951728,87668.0,1236.0,0.008657077802366686
2024-03-20,87906.0,88952.0,88952.0,87906.0,2900,-0.43,NCT,-1.175915100278802,88429.0,1046.0,-0.011828836653718255
2024-03-21,87716.0,87906.0,88001.0,87620.0,4800,-0.22,NCT,-0.21613996769276272,87810.5,381.0,-0.0021637388724400353
2024-03-22,87906.0,87716.0,88001.0,87525.0,8300,0.22,NCT,0.21660814446623194,87763.0,476.0,0.0021637388724400353
2024-03-25,87906.0,88001.0,88382.0,86859.0,5200,0.0,NCT,-0.10795331871228736,87620.5,1523.0,-0.0010801163027736038
2024-03-26,87525.0,87716.0,87716.0,87050.0,3300,-0.43,NCT,-0.2177481873318437,87383.0,666.0,-0.002179856034061345
2024-03-27,86669.0,87050.0,88001.0,86574.0,15500,-0.98,NCT,-0.4376794945433659,87287.5,1427.0,-0.004386401152276065
2024-03-28,86479.0,87525.0,87525.0,86003.0,12500,-0.22,NCT,-1.1950871179662954,86764.0,1522.0,-0.012022856943884719
2024-03-29,86479.0,86479.0,87050.0,86384.0,8800,0.0,NCT,0.0,86717.0,666.0,0.0
2024-04-01,86479.0,86384.0,86479.0,86384.0,9800,0.0,NCT,0.10997406927208743,86431.5,95.0,0.0010991364209136378
2024-04-02,86479.0,86384.0,86574.0,86289.0,7000,0.0,NCT,0.10997406927208743,86431.5,285.0,0.0010991364209136378
2024-04-03,86384.0,86479.0,86479.0,85908.0,8900,-0.11,NCT,-0.10985325917274714,86193.5,571.0,-0.0010991364209136378
2024-04-04,86289.0,86289.0,86289.0,85623.0,12500,-0.11,NCT,0.0,85956.0,666.0,0.0
2024-04-05,86289.0,86289.0,86954.0,86289.0,3100,0.0,NCT,0.0,86621.5,665.0,0.0
2024-04-08,86954.0,86193.0,87145.0,86193.0,2800,0.77,NCT,0.8829023238546053,86669.0,952.0,0.008790275316723495
2024-04-09,85623.0,86574.0,86574.0,85527.0,23400,-1.53,NCT,-1.098482223300298,86050.5,1047.0,-0.01104560089781259
2024-04-10,85527.0,85623.0,85623.0,85527.0,7600,-0.11,NCT,-0.1121194071686346,85575.0,96.0,-0.0011218230799627804
2024-04-11,85147.0,85432.0,85432.0,84671.0,8600,-0.44,NCT,-0.33359865155913476,85051.5,761.0,-0.003341563324836372
2024-04-12,85527.0,85527.0,85527.0,85147.0,2800,0.45,NCT,0.0,85337.0,380.0,0.0
2024-04-15,85527.0,85623.0,85623.0,85527.0,6600,0.0,NCT,-0.1121194071686346,85575.0,96.0,-0.0011218230799627804
2024-04-16,85052.0,85432.0,85432.0,84481.0,13600,-0.56,NCT,-0.44479820207884635,84956.5,951.0,-0.0044579037247896025
2024-04-17,84386.0,85147.0,85147.0,84386.0,9700,-0.78,NCT,-0.8937484585481579,84766.5,761.0,-0.008977663478821896
2024-04-19,82864.0,84957.0,84957.0,82768.0,20900,-1.8,NCT,-2.4635992325529386,83862.5,2189.0,-0.024944536454190924
2024-04-22,82768.0,82959.0,83720.0,82768.0,23200,-0.12,NCT,-0.23023421208066636,83244.0,952.0,-0.0023049965855346244
2024-04-23,82959.0,82768.0,83720.0,82768.0,7900,0.23,NCT,0.2307655132418326,83244.0,952.0,0.0023049965855346244
2024-04-24,83339.0,83720.0,83720.0,83244.0,9800,0.46,NCT,-0.45508838987099853,83482.0,476.0,-0.00456127069555734
2024-04-25,83339.0,83339.0,83339.0,83339.0,12900,0.0,NCT,0.0,83339.0,0.0,0.0
2024-04-26,83339.0,83720.0,85623.0,83339.0,12500,0.0,NCT,-0.45508838987099853,84481.0,2284.0,-0.00456127069555734
2024-05-02,83815.0,83530.0,85623.0,83530.0,13400,0.57,NCT,0.34119478031844847,84576.5,2093.0,0.0034061403154268532
2024-05-03,84671.0,85623.0,85623.0,84481.0,9200,1.02,NCT,-1.1118507877556263,85052.0,1142.0,-0.01118078050227922
2024-05-06,86479.0,86098.0,86574.0,85718.0,17000,2.14,NCT,0.4425189899881531,86146.0,856.0,0.004415427536669014
2024-05-07,86859.0,86479.0,86859.0,85623.0,12800,0.44,NCT,0.4394130366909886,86241.0,1236.0,0.004384504364374209
2024-05-08,86574.0,86764.0,86764.0,86574.0,2800,-0.33,NCT,-0.2189848324189756,86669.0,190.0,-0.002192249548215841
2024-05-09,86764.0,87050.0,87525.0,86384.0,8800,0.22,NCT,-0.32854681217690984,86954.5,1141.0,-0.003290877122807956
2024-05-10,85908.0,86764.0,88096.0,85623.0,15700,-0.99,NCT,-0.9865842976349638,86859.5,2473.0,-0.009914832889341696
2024-05-13,86574.0,86098.0,86574.0,85908.0,12700,0.78,NCT,0.5528583706938605,86241.0,666.0,0.005513357182998391
2024-05-14,86479.0,86574.0,86574.0,85813.0,6700,-0.11,NCT,-0.10973271420980896,86193.5,761.0,-0.0010979296463293764
2024-05-15,86479.0,86479.0,86574.0,86003.0,7100,0.0,NCT,0.0,86288.5,571.0,0.0
2024-05-16,86574.0,86479.0,86574.0,85527.0,7100,0.11,NCT,0.10985325917274714,86050.5,1047.0,0.0010979296463293764
2024-05-17,85908.0,85623.0,85908.0,85623.0,4300,-0.77,NCT,0.33285449003188394,85765.5,285.0,0.003323017556686736
2024-05-20,85908.0,86003.0,86574.0,85908.0,15600,0.0,NCT,-0.11046126297919841,86241.0,666.0,-0.0011052231639681054
2024-05-21,86574.0,86098.0,86574.0,86098.0,16600,0.78,NCT,0.5528583706938605,86336.0,476.0,0.005513357182998391
2024-05-22,86669.0,86574.0,87525.0,86574.0,1900,0.11,NCT,0.10973271420980896,87049.5,951.0,0.001096725518747732
2024-05-23,87430.0,87430.0,87525.0,86669.0,4100,0.88,NCT,0.0,87097.0,856.0,0.0
2024-05-24,87430.0,87430.0,87430.0,86574.0,3800,0.0,NCT,0.0,87002.0,856.0,0.0
2024-05-27,87525.0,87430.0,87525.0,86574.0,7200,0.11,NCT,0.10865835525563307,87049.5,951.0,0.0010859936479299392
2024-05-28,87335.0,87430.0,87525.0,87335.0,5200,-0.22,NCT,-0.10865835525563307,87430.0,190.0,-0.0010871743124436506
